This is my awesome data!,,,,,
,,,,,
,vegetable,variety,date,weight,units
,lettuce,reseed,6/6/20,20,grams
,radish,Garden Party Mix,6/6/20,36,grams
,lettuce,reseed,6/8/20,15,grams
,lettuce,reseed,6/9/20,10,grams
,radish,Garden Party Mix,6/11/20,67,grams
,lettuce,Farmer's Market Blend,6/11/20,12,grams
,spinach,Catalina,6/11/20,9,grams
,beets,leaves,6/11/20,8,grams
,radish,Garden Party Mix,6/13/20,53,grams
,lettuce,MISSING,6/13/20,19,grams
,spinach,Catalina,6/13/20,14,grams
,kale,Heirloom Lacinto,6/13/20,10,grams
,lettuce,Farmer's Market Blend,6/17/20,-,grams
,spinach,Catalina,6/17/20,58,grams
,peas,Magnolia Blossom,6/17/20,8,grams
,peas,Super Sugar Snap,6/17/20,121,grams
,chives,perrenial,6/17/20,8,grams
,strawberries,perrenial,6/18/20,40,grams
,lettuce,Farmer's Market Blend,6/18/20,47,grams
,spinach,MISSING,6/18/20,59,grams
,beets,leaves,6/18/20,25,grams
,spinach,Catalina,6/19/20,58,grams
,lettuce,Farmer's Market Blend,6/19/20,39,grams
,beets,leaves,6/19/20,11,grams
,lettuce,Farmer's Market Blend,6/19/20,-,grams
,lettuce,Farmer's Market Blend,6/20/20,22,grams
,spinach,Catalina,6/20/20,25,grams
,lettuce,Tatsoi,6/20/20,18,grams
,radish,Garden Party Mix,6/20/20,16,grams
,peas,Magnolia Blossom,6/20/20,71,grams
,peas,Super Sugar Snap,6/20/20,148,grams
,asparagus,asparagus,6/20/20,20,grams
,radish,Garden Party Mix,6/21/20,37,grams
,Swiss chard,Neon Glow,6/21/20,19,grams
,spinach,Catalina,6/21/20,71,grams
,lettuce,Farmer's Market Blend,6/21/20,95,grams
,spinach,Catalina,6/21/20,51,grams
,Swiss chard,Neon Glow,6/21/20,13,grams
,beets,leaves,6/21/20,57,grams
,kale,Heirloom Lacinto,6/21/20,60,grams
,spinach,Catalina,6/22/20,37,grams
,lettuce,Farmer's Market Blend,6/22/20,52,grams
,peas,Super Sugar Snap,6/22/20,40,grams
,peas,Magnolia Blossom,6/22/20,19,grams
,strawberries,perrenial,6/22/20,19,grams
,lettuce,Farmer's Market Blend,6/22/20,18,grams
,peas,Magnolia Blossom,6/23/20,40,grams
,peas,Super Sugar Snap,6/23/20,165,grams
,spinach,Catalina,6/23/20,41,grams
,cilantro,cilantro,6/23/20,2,grams
,basil,Isle of Naxos,6/23/20,5,grams
,peas,Super Sugar Snap,6/24/20,34,grams
,lettuce,Farmer's Market Blend,6/24/20,122,grams
,spinach,Catalina,6/25/20,22,grams
,lettuce,Farmer's Market Blend,6/25/20,30,grams
,strawberries,perrenial,6/26/20,17,grams
